epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.41758,2.87549,3.6317,1.80586,0.0305,0.25089,0.04994,0.01312,2.79312,3.65551,1.79366,0.000512923,0.000512923,0.000512923
2,5.03442,2.44826,2.6026,1.42823,0.0334,0.32979,0.05626,0.01276,2.2908,3.36712,1.58036,0.0010633,0.0010633,0.0010633
3,6.50675,2.42852,2.02558,1.39876,0.05355,0.48848,0.17458,0.0525,2.16188,3.00051,1.44716,0.00160818,0.00160818,0.00160818
