epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.59422,2.95511,11.0661,1.93319,0.04266,0.36924,0.03548,0.01025,2.23264,10.871,1.53077,0.000512923,0.000512923,0.000512923
2,3.04853,2.4908,7.71951,1.5006,0.03303,0.25576,0.04691,0.01057,2.3899,10.0318,1.61341,0.0010633,0.0010633,0.0010633
3,4.52111,2.48643,5.53325,1.48478,0.02804,0.23316,0.06271,0.01459,2.37525,10.2278,1.9662,0.00160818,0.00160818,0.00160818
4,6.03759,2.35118,4.97289,1.51241,0.02698,0.2961,0.08726,0.02465,2.48441,9.33439,1.95823,0.00164225,0.00164225,0.00164225
5,7.52146,2.31097,4.67277,1.47305,0.80202,0.3097,0.24807,0.07593,2.35108,6.80632,1.69145,0.00163399,0.00163399,0.00163399
6,8.98881,2.28317,4.63439,1.44714,0.72785,0.22252,0.15493,0.04806,2.58687,6.55997,2.06474,0.00162574,0.00162574,0.00162574
7,10.4737,2.27735,4.45781,1.41489,0.61917,0.31383,0.31994,0.0949,2.51326,6.43273,1.88184,0.00161749,0.00161749,0.00161749
8,11.9517,2.30117,4.4058,1.4764,0.53473,0.46461,0.50633,0.16568,2.12172,4.54211,1.49493,0.00160924,0.00160924,0.00160924
9,13.4443,2.29171,4.32809,1.39585,0.74016,0.53147,0.61721,0.22162,2.13084,4.30738,1.42216,0.00160099,0.00160099,0.00160099
10,14.9375,2.2047,4.04355,1.36874,0.67224,0.60395,0.65742,0.23411,2.08876,4.09012,1.45543,0.00159274,0.00159274,0.00159274
11,16.4393,2.19217,4.08526,1.39614,0.73181,0.61354,0.70994,0.25015,1.99728,4.0257,1.43596,0.00158448,0.00158448,0.00158448
12,17.9199,2.13436,3.87266,1.3649,0.65722,0.70489,0.72427,0.25281,2.06853,3.94494,1.44764,0.00157623,0.00157623,0.00157623
13,19.4018,2.17685,3.882,1.36437,0.56051,0.68222,0.64422,0.24335,1.9412,3.90121,1.39849,0.00156798,0.00156798,0.00156798
14,20.8532,2.15959,3.92686,1.36574,0.71711,0.72188,0.73645,0.29882,1.89343,3.5983,1.37016,0.00155973,0.00155973,0.00155973
15,22.3571,2.15604,3.71766,1.36034,0.56527,0.721,0.65732,0.25584,1.95271,3.79187,1.39268,0.00155148,0.00155148,0.00155148
16,23.809,2.14494,3.73675,1.37793,0.65032,0.74441,0.70857,0.27978,1.94972,3.53587,1.4142,0.00154323,0.00154323,0.00154323
17,25.2765,2.17347,3.7451,1.3795,0.62142,0.70312,0.70901,0.26816,2.04299,3.96573,1.40042,0.00153497,0.00153497,0.00153497
