epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,63.7826,2.06252,1.12303,1.314,0.73934,0.78217,0.8356,0.34677,1.87404,1.05143,1.34855,0.00132868,0.00132868,0.00132868
43,65.2712,2.00943,1.10317,1.31818,0.78639,0.68927,0.77668,0.32419,1.98218,1.17495,1.35435,0.00132043,0.00132043,0.00132043
44,66.7227,1.97844,1.07192,1.28153,0.75674,0.77837,0.80472,0.35408,1.90704,1.00267,1.35681,0.00131218,0.00131218,0.00131218
45,68.2009,2.001,1.04333,1.28667,0.80571,0.75584,0.80995,0.36168,1.94638,1.00865,1.3659,0.00130393,0.00130393,0.00130393
46,69.6831,2.01769,1.0543,1.30439,0.89815,0.74161,0.82973,0.3444,1.88783,1.00701,1.35226,0.00129568,0.00129568,0.00129568
47,71.1495,1.99674,1.05214,1.28132,0.87639,0.80585,0.86009,0.35046,1.86315,0.95745,1.35105,0.00128742,0.00128742,0.00128742
48,72.5973,1.97457,1.05008,1.3004,0.7789,0.77071,0.81543,0.35654,1.84159,0.9586,1.34417,0.00127917,0.00127917,0.00127917
49,74.0568,1.98381,1.00931,1.2706,0.7589,0.83462,0.82346,0.36018,1.91291,1.02488,1.35648,0.00127092,0.00127092,0.00127092
50,75.5009,1.99322,1.05947,1.279,0.77009,0.76345,0.81733,0.36089,1.89801,0.98593,1.35434,0.00126267,0.00126267,0.00126267
51,76.975,2.02615,1.04158,1.28304,0.81677,0.83289,0.83804,0.36158,1.85473,0.95749,1.35349,0.00125442,0.00125442,0.00125442
52,78.4279,1.98545,1.02856,1.27794,0.84148,0.81236,0.8479,0.35662,1.89467,0.97057,1.35148,0.00124617,0.00124617,0.00124617
53,79.8687,1.97704,1.02616,1.27978,0.78183,0.80322,0.80538,0.36993,1.86176,0.94326,1.34141,0.00123791,0.00123791,0.00123791
54,81.3477,1.99961,1.02801,1.28254,0.76365,0.81294,0.78167,0.34244,1.9113,0.97388,1.37218,0.00122966,0.00122966,0.00122966
55,82.7981,1.96723,1.02159,1.28343,0.75283,0.76384,0.78442,0.30532,2.08709,1.09331,1.42591,0.00122141,0.00122141,0.00122141
56,84.2549,2.00247,1.01936,1.25942,0.72864,0.80053,0.81582,0.38494,1.85216,0.97071,1.33233,0.00121316,0.00121316,0.00121316
57,85.7311,1.94928,0.99573,1.26545,0.81604,0.75542,0.84081,0.37227,1.86974,0.99216,1.34017,0.00120491,0.00120491,0.00120491
58,87.1816,1.97723,1.0134,1.27931,0.82516,0.7831,0.85765,0.37691,1.86707,0.96105,1.33186,0.00119666,0.00119666,0.00119666
59,88.6416,1.97077,1.00694,1.26371,0.83005,0.80669,0.86695,0.37141,1.82273,0.96022,1.3369,0.0011884,0.0011884,0.0011884
60,90.0921,1.92744,0.99271,1.25866,0.7977,0.80186,0.8313,0.33624,1.8712,0.97959,1.35522,0.00118015,0.00118015,0.00118015
61,91.5342,1.96381,1.00473,1.27366,0.80931,0.78723,0.78089,0.32492,1.88802,0.99246,1.37078,0.0011719,0.0011719,0.0011719
62,93.1772,1.99775,1.00622,1.2608,0.82954,0.77092,0.82483,0.34059,1.88822,0.97631,1.3864,0.00116365,0.00116365,0.00116365
63,94.6325,1.95518,1.01701,1.26785,0.80651,0.77039,0.83417,0.33866,1.89315,0.97469,1.38061,0.0011554,0.0011554,0.0011554
64,96.089,1.99141,1.01171,1.26751,0.84276,0.78723,0.84546,0.34544,1.89693,0.93073,1.373,0.00114715,0.00114715,0.00114715
65,97.5449,1.94754,0.98326,1.25949,0.8858,0.80629,0.83919,0.35677,1.92354,0.95584,1.37372,0.00113889,0.00113889,0.00113889
66,98.9996,1.95511,0.96586,1.26685,0.85212,0.793,0.8334,0.34469,1.99258,0.93833,1.39498,0.00113064,0.00113064,0.00113064
67,100.453,1.94325,1.00015,1.26258,0.82086,0.81472,0.83164,0.3651,1.85549,0.92271,1.33125,0.00112239,0.00112239,0.00112239
68,101.912,1.94688,0.94843,1.23519,0.80945,0.82083,0.82964,0.34891,1.84598,0.93178,1.33873,0.00111414,0.00111414,0.00111414
69,103.369,1.92356,0.96569,1.26607,0.87055,0.7883,0.83056,0.35526,1.90017,0.97927,1.37814,0.00110589,0.00110589,0.00110589
70,104.805,1.9812,0.98842,1.27913,0.86779,0.79819,0.86792,0.35257,1.902,0.98821,1.37663,0.00109764,0.00109764,0.00109764
71,106.256,1.91545,0.97588,1.28129,0.83366,0.84485,0.85487,0.34448,1.88274,0.91645,1.36606,0.00108938,0.00108938,0.00108938
72,107.713,1.94734,0.971,1.25985,0.86441,0.78489,0.84673,0.39067,1.89635,0.91773,1.35091,0.00108113,0.00108113,0.00108113
73,109.181,1.93232,0.94349,1.23472,0.78233,0.79936,0.81997,0.3595,1.93087,0.92896,1.37476,0.00107288,0.00107288,0.00107288
74,110.637,1.92836,0.95068,1.26021,0.80089,0.77261,0.8174,0.35993,1.87307,0.92756,1.36577,0.00106463,0.00106463,0.00106463
75,112.095,1.90397,0.94282,1.23821,0.84642,0.80967,0.83925,0.36393,1.86217,0.8905,1.36246,0.00105638,0.00105638,0.00105638
