epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1452.57,1.67204,2.25482,0.80363,0.72807,0.61988,0.64752,0.343,1.44594,2.00007,0.81767,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1498.5,1.67216,2.25507,0.80263,0.71962,0.61953,0.64498,0.34117,1.44873,2.00544,0.81627,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1544.37,1.67028,2.26043,0.80324,0.71182,0.61472,0.63726,0.33687,1.44587,2.02487,0.81489,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1590.31,1.67944,2.27061,0.80421,0.70388,0.62349,0.63995,0.34224,1.44315,1.99733,0.81637,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,1636.2,1.66845,2.25253,0.80175,0.71317,0.62112,0.64281,0.34105,1.44016,1.98433,0.81463,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,1682.07,1.66331,2.23819,0.80291,0.7261,0.61648,0.64185,0.34372,1.43664,1.97712,0.81432,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,1728.01,1.65789,2.22328,0.80389,0.73868,0.62289,0.65284,0.34723,1.43242,1.9741,0.81459,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,1773.95,1.65389,2.22204,0.8011,0.71372,0.62851,0.65025,0.34523,1.43648,1.96971,0.81535,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,1819.91,1.65821,2.22211,0.80075,0.73394,0.61885,0.65205,0.34934,1.42923,1.95833,0.81408,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,1865.97,1.65938,2.21086,0.80007,0.73362,0.62076,0.65409,0.34933,1.43309,1.97204,0.81411,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,1911.87,1.64784,2.20923,0.80149,0.71221,0.62652,0.6507,0.34763,1.42577,1.95038,0.81421,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,1957.87,1.66058,2.19794,0.79925,0.71927,0.63235,0.65341,0.34952,1.42689,1.94836,0.81321,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2003.76,1.64917,2.20921,0.79897,0.71991,0.62264,0.65007,0.34916,1.41995,1.94775,0.81329,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2049.85,1.6514,2.21246,0.80062,0.71486,0.63354,0.65675,0.35257,1.42177,1.94811,0.81235,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,2095.81,1.65207,2.19994,0.79716,0.73991,0.62347,0.65381,0.35275,1.42238,1.93937,0.81261,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,2141.72,1.63927,2.18232,0.80053,0.74257,0.62171,0.65758,0.35218,1.42006,1.92779,0.81265,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,2187.66,1.64097,2.17819,0.79795,0.72518,0.63666,0.65791,0.35486,1.41671,1.92823,0.81113,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,2233.5,1.6415,2.18945,0.79879,0.71502,0.6375,0.65679,0.35154,1.41977,1.93638,0.81185,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,2279.41,1.63454,2.17582,0.80028,0.71209,0.63206,0.65037,0.3515,1.41452,1.92577,0.8115,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,2325.25,1.63951,2.17917,0.79993,0.72534,0.63667,0.6601,0.35525,1.41569,1.91973,0.81155,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,2371.14,1.63108,2.17479,0.79863,0.71533,0.64102,0.65742,0.35369,1.42059,1.92373,0.81155,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,2416.99,1.6407,2.17624,0.79792,0.72811,0.63297,0.65922,0.3561,1.41541,1.92026,0.81136,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,2462.84,1.63674,2.17398,0.79699,0.73153,0.6303,0.66046,0.35588,1.40895,1.91095,0.81087,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,2508.72,1.63531,2.17297,0.79776,0.72772,0.63824,0.66516,0.35729,1.4111,1.91283,0.81119,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,2554.67,1.63668,2.1685,0.79969,0.73919,0.63646,0.6647,0.36068,1.40847,1.90502,0.81049,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,2600.56,1.62731,2.15129,0.79936,0.72953,0.637,0.66237,0.35739,1.40681,1.90517,0.81082,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,2646.44,1.63488,2.16936,0.79747,0.74297,0.6384,0.66773,0.35984,1.41077,1.90206,0.81007,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
